"Title","Relased_Year","Genre ","IMDB_Rating"
"Planet Of The Apesâ ","2001","Action|Adventure|Sci-Fi|Thriller","5.7"
"Planet Of The Apesâ ","2001","Action|Adventure|Sci-Fi|Thriller","5.7"
"Airplane!Â ","1980","Comedy","7.8"
"High School Musical 3: Senior Yearâ ","2008","Comedy|Drama|Family|Music|Musical|Romance","4.5"
"Think Like A Manâ ","2012","Comedy|Romance","6.6"
"The Othersâ ","2001","Fantasy|Horror|Thriller","7.6"
"Dead Poets Societyâ ","1989","Comedy|Drama","8"
"The First Wives Clubâ ","1996","Comedy","6.2"
"The Santa Clause 2Â ","2002","Comedy|Family|Fantasy","5.5"
"Supermanâ ","1978","Action|Adventure|Drama|Romance|Sci-Fi","7.3"
"The Color Purpleâ ","1985","Drama","7.8"
"Insidious: Chapter 2Â ","2013","Fantasy|Horror|Thriller","6.6"
"Spider-Man 3Â ","2007","Action|Adventure|Romance","6.2"
"Spider-Man 3Â ","2007","Action|Adventure|Romance","6.2"
"Back To The Future Part Iiâ ","1989","Adventure|Comedy|Sci-Fi","7.8"
"Ace Ventura: When Nature Callsâ ","1995","Adventure|Comedy","6.3"
"Save The Last Danceâ ","2001","Drama|Music|Romance","6.1"
"Into The Woodsâ ","2014","Adventure|Comedy|Drama|Fantasy|Musical","6"
"Hancockâ ","2008","Action|Drama","6.4"
"Annabelleâ ","2014","Horror|Mystery","5.4"
"Spy Kidsâ ","2001","Action|Adventure|Comedy|Family|Sci-Fi","5.4"
"Scream 2Â ","1997","Horror|Mystery","6.1"
"The Imitation Gameâ ","2014","Biography|Drama|Thriller|War","8.1"
"Legally Blondeâ ","2001","Comedy|Romance","6.2"
"Super 8Â ","2011","Mystery|Sci-Fi|Thriller","7.1"
"When Harry Met Sally...Â ","1989","Comedy|Drama|Romance","7.6"
"The Green Mileâ ","1999","Crime|Drama|Fantasy|Mystery","8.5"
"Police Academyâ ","1984","Comedy","6.7"
"Analyze Thisâ ","1999","Comedy|Crime","6.7"
"The Rugrats Movieâ ","1998","Adventure|Animation|Comedy|Drama|Family|Musical","5.9"
"Mr. Deedsâ ","2002","Comedy|Romance","5.8"
"The Longest Yardâ ","2005","Comedy|Crime|Sport","6.4"
"Trafficâ ","2000","Crime|Drama|Thriller","7.6"
"Central Intelligenceâ ","2016","Action|Comedy|Crime","6.6"
"Mr. Holland'S Opusâ ","1995","Drama|Music","7.3"
"8 Mileâ ","2002","Drama|Music","7"
"The Addams Familyâ ","1991","Comedy|Fantasy","6.8"
"Stripesâ ","1981","Action|Comedy|War","6.9"
"Shakespeare In Loveâ ","1998","Comedy|Drama|Romance","7.2"
"Talladega Nights: The Ballad Of Ricky Bobbyâ ","2006","Action|Comedy|Sport","6.6"
"Over The Hedgeâ ","2006","Adventure|Animation|Comedy|Family","6.8"
"Trainwreckâ ","2015","Comedy|Romance","6.3"
"The Nutty Professorâ ","1996","Comedy|Romance|Sci-Fi","5.6"
"Creedâ ","2015","Drama|Sport","7.7"
"Beverly Hills Chihuahuaâ ","2008","Adventure|Comedy|Drama|Family|Romance","3.7"
"Schindler'S Listâ ","1993","Biography|Drama|History","8.9"
"Notting Hillâ ","1999","Comedy|Drama|Romance","7"
"Spy Kids 3-D: Game Overâ ","2003","Action|Adventure|Comedy|Family|Sci-Fi","4.1"
"Erin Brockovichâ ","2000","Biography|Drama","7.3"
"Shrek Forever Afterâ ","2010","Adventure|Animation|Comedy|Family|Fantasy","6.4"
"National Treasureâ ","2004","Action|Adventure|Comedy|Family|Mystery","6.9"
"Doctor Dolittleâ ","1998","Comedy|Family|Fantasy","5.3"
"Phenomenonâ ","1996","Drama|Fantasy|Romance|Sci-Fi","6.4"
"Footlooseâ ","1984","Drama|Music|Romance","6.5"
"Footlooseâ ","1984","Drama|Music|Romance","6.5"
"Madagascar 3: Europe'S Most Wantedâ ","2012","Adventure|Animation|Comedy|Family","6.9"
"The Princess Diariesâ ","2001","Comedy|Family|Romance","6.2"
"Xxxâ ","2002","Action|Adventure|Thriller","5.8"
"Million Dollar Babyâ ","2004","Drama|Sport","8.1"
"Saw Iiiâ ","2006","Horror|Mystery","6.2"
"This Is The Endâ ","2013","Comedy|Fantasy","6.7"
"March Of The Penguinsâ ","2005","Documentary","7.6"
"Scooby-Dooâ ","2002","Adventure|Comedy|Mystery","4.9"
"Mean Girlsâ ","2004","Comedy","7"
"Brokeback Mountainâ ","2005","Drama|Romance","7.7"
"The Purge: Election Yearâ ","2016","Action|Horror|Sci-Fi|Thriller","6.1"
"A Time To Killâ ","1996","Crime|Drama|Thriller","7.4"
"The Game Planâ ","2007","Comedy|Family|Sport","6.2"
"The Fighterâ ","2010","Biography|Drama|Sport","7.9"
"Monsters Universityâ ","2013","Adventure|Animation|Comedy|Family|Fantasy","7.3"
"The Maze Runnerâ ","2014","Action|Mystery|Sci-Fi|Thriller","6.8"
"Star Trek Ii: The Wrath Of Khanâ ","1982","Action|Adventure|Sci-Fi","7.7"
"Alienâ ","1979","Horror|Sci-Fi","8.5"
"Wargamesâ ","1983","Sci-Fi|Thriller","7.1"
"A League Of Their Ownâ ","1992","Comedy|Drama|Sport","7.2"
"Clickâ ","2006","Comedy|Drama|Fantasy|Romance","6.4"
"Se7Enâ ","1995","Crime|Drama|Mystery|Thriller","8.6"
"Aliensâ ","1986","Action|Adventure|Sci-Fi","8.4"
"The Break-Upâ ","2006","Comedy|Drama|Romance","5.8"
"Mr. & Mrs. Smithâ ","2005","Action|Comedy|Crime|Romance|Thriller","6.5"
"Ice Age: Continental Driftâ ","2012","Adventure|Animation|Comedy|Family","6.6"
"Man Of Steelâ ","2013","Action|Adventure|Fantasy|Sci-Fi","7.2"
"Poltergeistâ ","1982","Fantasy|Horror","7.4"
"Poltergeistâ ","1982","Fantasy|Horror","7.4"
"Teenage Mutant Ninja Turtlesâ ","2014","Action|Adventure|Comedy|Sci-Fi","5.9"
"Teenage Mutant Ninja Turtlesâ ","2014","Action|Adventure|Comedy|Sci-Fi","5.9"
"Divergentâ ","2014","Adventure|Mystery|Sci-Fi","6.7"
